cod 	 tweetsemente 	 tweet 	 hashtag 	 seq-cx-alta 	 spcner_nome 	 spcner_local
1 	 O Presidente @ArthurLira_ ,após ouvir a maioria dos líderes, houve por bem submeter a PEC 03/21 a uma comissão especial. Não será submetida à CCJ, pois a admissibilidade já foi aprovada. Foi a melhor solução para que possamos discutir melhor o texto. 	 @Biakicis @ArthurLira_ Acredito que a única coisa que deveria ser incluída no art. 53 cf é a definição de "quaisquer", isso evitaria que pessoas que tenham menos capacidade intelectual consigam compreender o sentido. Talvez Mauricio de Souza possa inserir um quadrinho na CF, explicando. Seria lúdico. 	 0 	 0 	 1 	 0
2 	 O Presidente @ArthurLira_ ,após ouvir a maioria dos líderes, houve por bem submeter a PEC 03/21 a uma comissão especial. Não será submetida à CCJ, pois a admissibilidade já foi aprovada. Foi a melhor solução para que possamos discutir melhor o texto. 	 @Biakicis @ArthurLira_ parabéns  a todos q desde o inicio se opuseram a essa vergonhosa PEC. tem q acabar c imunidade parlamentar e foro privilegiado,  os eleitos são só pessoas q receberam mandato através do voto democrático p trabalhar p o cidadão q e o elegeu e paga o seu salário e só 	 0 	 0 	 0 	 0
3 	 O Presidente @ArthurLira_ ,após ouvir a maioria dos líderes, houve por bem submeter a PEC 03/21 a uma comissão especial. Não será submetida à CCJ, pois a admissibilidade já foi aprovada. Foi a melhor solução para que possamos discutir melhor o texto. 	 @Biakicis @ArthurLira_ Será que foi esta razão mesmo? Ou pq a opinião geral era de que a esquerda queria uma PEC nao para proteger a Imunidade mas sim a IMPUNIDADE parlamentar? E de que adianta criar um novo diapositivo quando o STF, desrespeita o que existe? O que vai garantir que eles vão recuar? 	 0 	 1 	 0 	 1
4 	 O Presidente @ArthurLira_ ,após ouvir a maioria dos líderes, houve por bem submeter a PEC 03/21 a uma comissão especial. Não será submetida à CCJ, pois a admissibilidade já foi aprovada. Foi a melhor solução para que possamos discutir melhor o texto. 	 @Biakicis @ArthurLira_ pretsa atenção! não preciso é seguir no STF ja ter fofoqueiro que sempres e cuidado! não seguir esquerda e sair agora. o fim de esquerda vai ter a morte (Vacina). os perigosos de mídia. é muito cuidado!   so preparar esta certo. 	 0 	 0 	 1 	 1
5 	 O Presidente @ArthurLira_ ,após ouvir a maioria dos líderes, houve por bem submeter a PEC 03/21 a uma comissão especial. Não será submetida à CCJ, pois a admissibilidade já foi aprovada. Foi a melhor solução para que possamos discutir melhor o texto. 	 @Biakicis @ArthurLira_ Rasgaram a constituição do artigo 53 pra fazer a vontade dos picareta do stf, agora tão com medo de irem pra cadeia, bem feito pra esses picaretas do congresso, agora querem se blindar pra não irem pra cadeia, covardes 	 0 	 0 	 0 	 0
6 	 Dentre outros fatores, amanhã votarei pela libertação do Dep. Fed. @danielPMERJ em nome das garantias da imunidade parlamentar, liberdade de expressão, devido processo legal, ampla defesa e contraditório. 	 @BolsonaroSP @danielPMERJ Parlamento fraco s e submisso, baixa posição. Não importa se o @danielPMERJ  está certo ou errado.  Jogo tem regras que deveriam ser seguidas. Se tudo continuar assim não haverá três poderes no Br. Só existe o @STF_oficial  e o resto. 	 0 	 0 	 1 	 1
7 	 Dentre outros fatores, amanhã votarei pela libertação do Dep. Fed. @danielPMERJ em nome das garantias da imunidade parlamentar, liberdade de expressão, devido processo legal, ampla defesa e contraditório. 	 @BolsonaroSP @danielPMERJ O cara é o mais fiel a vocês e é só essa a sua reação? 24 hrs depois?  Quando vc falou no cabo e no soldado ele esteve na sua defesa desde o primeiro momento!  Desculpe, mas esperava mais! 	 0 	 0 	 0 	 1
8 	 Dentre outros fatores, amanhã votarei pela libertação do Dep. Fed. @danielPMERJ em nome das garantias da imunidade parlamentar, liberdade de expressão, devido processo legal, ampla defesa e contraditório. 	 @BolsonaroSP @danielPMERJ Congresso Brasileiro atenção⚠️  Está claro que na Velocidade do STF de Julgar, investigar e Condenar nunca foi visto na história deste País,  @rpsenador @ArthurLira_  se nada for feito, não vou me surpreender se amanhã os presidentes do Congresso ou Pres. republica forem presos 	 0 	 0 	 1 	 1
9 	 Dentre outros fatores, amanhã votarei pela libertação do Dep. Fed. @danielPMERJ em nome das garantias da imunidade parlamentar, liberdade de expressão, devido processo legal, ampla defesa e contraditório. 	 @BolsonaroSP @danielPMERJ NA CAPIVARA DE DANIEL SILVEIRA, QUANDO ERA SOLDADO, PASSOU 80 DIAS PRESO, DIVERSOS ADVERTÊNCIAS, CONDUTAS VIOLENTAS, ATRASOS, INFRAÇÕES, SAINDO COM CHUTE NO RABO DE LÁ, PELAS PORTAS DOS FUNDOS, EXPULSO DA CORPORAÇÃO.  COM ESSA VIDA PREGRESSA, SÓ PODERIA SER BOLSONARISTA PADRÃO! 	 0 	 1 	 1 	 0
10 	 Dentre outros fatores, amanhã votarei pela libertação do Dep. Fed. @danielPMERJ em nome das garantias da imunidade parlamentar, liberdade de expressão, devido processo legal, ampla defesa e contraditório. 	 @BolsonaroSP @danielPMERJ O Deputado PRECISA ser solto, para que o processo jurídico penal seja cumprido desde o seu início. A PGR já denunciou mesmo o STF tendo tomado a frente e já prendido. Agora precisa entrar com a parte da defesa e acontecer o mesmo que houve com o Lula, a ampla defesa. 	 0 	 1 	 1 	 1
